tensor(1.3937, grad_fn=<MeanBackward0>)
tensor(1.4343, grad_fn=<MeanBackward0>)
tensor(1.3864, grad_fn=<MeanBackward0>)
tensor(1.4571, grad_fn=<MeanBackward0>)
tensor(1.4797, grad_fn=<MeanBackward0>)
tensor(1.4984, grad_fn=<MeanBackward0>)
tensor(1.5292, grad_fn=<MeanBackward0>)
tensor(1.5040, grad_fn=<MeanBackward0>)
tensor(1.5230, grad_fn=<MeanBackward0>)
tensor(1.5545, grad_fn=<MeanBackward0>)
tensor(1.5587, grad_fn=<MeanBackward0>)
tensor(1.5420, grad_fn=<MeanBackward0>)
tensor(1.5652, grad_fn=<MeanBackward0>)
tensor(1.5747, grad_fn=<MeanBackward0>)
