tensor(1.0900, grad_fn=<MeanBackward0>)
tensor(1.2946, grad_fn=<MeanBackward0>)
tensor(1.3733, grad_fn=<MeanBackward0>)
tensor(1.3957, grad_fn=<MeanBackward0>)
tensor(1.4064, grad_fn=<MeanBackward0>)
tensor(1.4179, grad_fn=<MeanBackward0>)
tensor(1.4410, grad_fn=<MeanBackward0>)
tensor(1.5051, grad_fn=<MeanBackward0>)
tensor(1.4732, grad_fn=<MeanBackward0>)
tensor(1.5477, grad_fn=<MeanBackward0>)
tensor(1.5215, grad_fn=<MeanBackward0>)
tensor(1.4759, grad_fn=<MeanBackward0>)
tensor(1.5049, grad_fn=<MeanBackward0>)
tensor(1.5332, grad_fn=<MeanBackward0>)
tensor(1.5286, grad_fn=<MeanBackward0>)
tensor(1.4906, grad_fn=<MeanBackward0>)
tensor(1.5583, grad_fn=<MeanBackward0>)
tensor(1.5718, grad_fn=<MeanBackward0>)
tensor(1.5227, grad_fn=<MeanBackward0>)
tensor(1.5667, grad_fn=<MeanBackward0>)
