tensor(-279.4839, grad_fn=<SumBackward0>)
tensor(-281.8167, grad_fn=<SumBackward0>)
tensor(-310.8893, grad_fn=<SumBackward0>)
tensor(-327.7630, grad_fn=<SumBackward0>)
tensor(-349.0152, grad_fn=<SumBackward0>)
tensor(-360.6116, grad_fn=<SumBackward0>)
tensor(-402.4103, grad_fn=<SumBackward0>)
tensor(-419.1176, grad_fn=<SumBackward0>)
tensor(-426.9057, grad_fn=<SumBackward0>)
tensor(-439.8878, grad_fn=<SumBackward0>)
tensor(-454.6347, grad_fn=<SumBackward0>)
tensor(-448.4708, grad_fn=<SumBackward0>)
tensor(-491.6876, grad_fn=<SumBackward0>)
tensor(-511.2243, grad_fn=<SumBackward0>)
tensor(-528.2869, grad_fn=<SumBackward0>)
tensor(-538.8908, grad_fn=<SumBackward0>)
tensor(-564.3166, grad_fn=<SumBackward0>)
tensor(-586.9971, grad_fn=<SumBackward0>)
